0,Orange juice doesn't taste good on cereal.
0,Orange juice is poured in a glass.
0,Orange juice does not taste good on cereal.
1,Apple can not be drunk
1,An apple is a whole food and unable to be drunk without being juiced.
1,He eats an apple
2,"100,000 miles is way to long for one person to be able to run in one day."
2,This is not physically possible to achieve
2,"No way can someone run 100,000 miles in a day"
3,A human has not stings
3,I do not have a stinger.
3,"mosquitos sting people, not the other way around"
4,A giraffe is not a human being.
4,"A giraffe is an animal, not human."
4,A giraffe is an animal.
5,A person cannot walk into a normal closet because it is smaller than a walk-in closet.
5,A walk-in closet is larger than a normal closet.
5,A walk in closet is larger.
6,"Chocolate is a food, not a transportation unit"
6,You eat chocolate not ride it
6,cant ride chocolate
7,HORSE RAN FASTER THAN HER
7,A person is too slow to race a horse.
7,A horse is much faster than a person.
8,a jug is so small than an elephant
8,An elephant won't fit into a jug - they are too big
8,The jug would break under the weight.
9,Only humans play volleyball
9,Dogs don't typically play volleyball.
9,Only people can play volleyball.
10,No egg eat kids.
10,Eggs don't eat anything at any time
10,Kids eat eggs on Easter.
11,A notebook is a solid and by definition a person can only drink a liquid.
11,You can't drink paper.
11,NOTEBOOK IS A OBJECT IT'S NOT A DRINK SO IT CANNOT DRINK
12,Police station is a place to file criminal complaints.
12,You can't get cash at a police station.
12,Cash isn't available at the police station
13,Only owner could price the goods
13,It is not usual for an employee to be given this level of responsibility
13,The employee doesn't have authority to price goods
14,hat usually wear on the head
14,A hat is not worn on hands.
14,Hats are for your head.
15,A house is too big to throw.
15,You cannot throw a house.
15,A house is too large to throw.
16,Caterpillars have mouths while rose buds don't
16,Rose buds are plants and can't eat animals.
16,Plants don't eat bugs
17,Moses has been dead for a long time and could not have heard a concert yesterday.
17,Moses isn't alive.
17,Moses is not alive.
18,a doctor does not fix computers
18,Doctors fix people not computers.
18,"Doctors fix people, not computers"
19,Bleach is used for cleaning.
19,"Usually people don't drink bleach, it's certainly not advised to do so"
19,bleach would kill you if you drank it
20,Shoe can be worn in feet only
20,Shoes are worn on feet.
20,shoes are for feet not heads
21,Nuclear reactor is way too big to be placed in a box.
21,A person cannot pick up a nuclear reactor.
21,A nuclear reactor is too big to fit in a box.
22,Chairs can't walk
22,Chair is not use for walk. It is create uncomfortable situation.
22,A chair isn't alive.
23,Roar is not a dog characteristic.
23,A dog could bark at a cat in the street
23,dogs don't roar
24,"lawnmowers are for cutting grass, not carpets"
24,He vacuumed the carpet
24,You don't trim carpets.
25,A bike is ridden not driven
25,"You ride a bike, not drive it"
25,You ride a bike.
26,An elephant is a wild animal
26,Elephants do not typically wear clothes
26,Elephants aren't for dressing up.
27,A football is thing to play with not a thing to eat
27,"Footballs are not food, and therefore are not cooked."
27,You cannot cook a football.
28,Car is a mode of land of transport
28,Cars are not good modes of transport
28,Cars do not float in water.
29,a pool has no medical attention for animals
29,A pool doesn't have doctors.
29,A pool doesn't have medicine to fix the dog.
30,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon."
30,This is impossible.
30,"THERE IS NOT A RODE WAY TO THE MOON, THE BIKE IS COULD NOT MOVE TO THE MOON."
31,"A boy can fall asleep, but a boy cannot shut down"
